Index,Comment,Sentiment,Toxicity
22,rlly love how they talk like they're catching up with one another or like jsut sharing their truest feelings about things without even censoring names when they talk abt it (just edited out for privacy purposes) IT MAKES EVERYTH SO REAL and not curated just for content purposes LOVE IT!!!,neg,n
23,YAS jade and saffron! and dew!! ,neu,n
24,love this please dont ever end this channel!!! love saff jade munahhhh <3,neu,n
25,This is by far better than real talk. Keep up the content dew and gang,neu,n
26,WOW :o Looking forward to this series.,neu,n
27,The chemistry between the cast is so harmonious and smooth. Edits are apt and not abrupt. Not complaining about the visuals too.,neu,n
28,Love the camera work and sitting arrangement and vibes! ,neu,n
29,"Yooo 17 mins! Keep it up, looking forward to future episodes!",neu,n
30,Im kinda curious how jade’s child is doing and how he/she looks like hehe,pos,n
31,Now this is an awesome show..,pos,n
32,"Honestly Dew is such a champ for being patient and listening to his friends giving genuine advice to him even on set. I think a lot of people (including myself) would feel so disrespected/demeaning to hear other people telling you that you're wrong straight up like an intervention, moreover on a show recorded for everyone to see. Dew doesn't seem to lose his temper or get frustrated when everyone's pointing the finger at his faults, but calmly take it in and evaluate it for himself (at least what we see from the video). It's a trait that a lot of people can't do because they just don't like hearing that they are in the wrong. Kudos to everyone on this show who are willing to share authentic conversations that doesn't come off as fake or clout-chasing. Hope Jade can share more stories and be more vulnerable on set (I know she's a strong woman, but hopefully she can open up and share her feelings more if she's comfortable in the future).",neg,n
33,"Omygod, loving this! All the way guys... Also it is nice to hear the stories cos like twenties are so hard to navigate and its nice seeing that you are not aloneee",neu,n
34,"i really love the trio between dew, jade and saffron... lowkey better than the current real talk now tho... like the energy they have can't be replicated ",neu,n
35,Yes The OG's are back,neu,n
36,"ahhhhh this feels right with the original cast of real talk minus John, real talk new cast just doesn't suit me",neg,n
37,Enjoyed this. And COMPLETELY agreed with the girls when they were schooling Dew,neg,n
38,"Great to see Saff backkk!
  Aquarius queens Jade and Saff",neu,n
39,Definitely better than the current real talk,neu,n
40,"I just want to be best friends with Dew and Saff man, loving the chemistry",neu,n
41,More stories from Keisha please!,pos,n
42,Love the long episode! This feels right,neu,n
43,your lighting setup was really dope bro!,neu,n
44,now thisss feels like the real talk i want in my subscription,neu,n
45,"im so happy and grateful for this show, y'all have no idea",pos,n
46,Love the group dynamics,neu,n
47,"really love this, please do more !",pos,n
48,GO KEISHA!!! I love you!!,neu,n
49,I love how each of you all get to talk,neg,n
50,"The moment i see their faces on the couch, subscribed.",neu,n
51,CAN'T WAIT FORTHE NEXT EP!!!,pos,n
52,AW YEAHHH new season let’s gooooo,neu,n
53,Love yall,neg,n
54,The OG’s are back! Lol I was so confused why the previous channel name was changed.,neu,n
55,oh my god jade and saffron duo !!! the ogs are back im watching this guys,neu,n
56,Legit loving this !!!,neu,n
57,AHHH YES JADE & MUNAHHH,neu,n
58,I LOVE THIS CHANNEL SM,neu,n
59,Waa so glad!!! HAHAHAHA cheers to more future building content!,neu,n
60,Literally fire! #JustSaying,pos,n
61,Tbh I prefer this than real talk!!! Keep it going!!!! WHENS THE NEXT EP?!?,neu,n
62,Yay my favorite pair back tgt. Jade and Saffron!!!!,neu,n
63,id pay for this man best content in awhile,neu,n
64,I can listen to jade and saff talk for the whole day,neu,n
65,i am here for this yes yes yes !!,pos,n
66,"missed munah on screen 
️",neu,n
67,Great cast!!,neu,n
68,holy crap munah's smile is mesmerizing,neu,n
69,YAY MUNAH IS BACK,pos,n
70,Such a good conversation <3,neu,n
71,The kind of vibe I really really missed.......!!!!,pos,n
72,dew looking across and trying to look at jade and keisha respectfully.....a real struggle....,neu,n
73,Episode 2 pleaseeeeeeeee,neu,n
74,"Yeahhh gonna watch this bcos got saff, jade and dew pew peww heheheehe",neg,n
75,Dew “mashallah” was so satisfying hahahahaha,neu,n
76,Love it !!!,neu,n
77,enjoyed this episode!!!,neg,n
78,The moment Dew sideline Saffron,neu,n
79,The intro is,neg,n
80,I'm here for Keisha!,neg,n
81,Guess that confirms that. Although they did go on date where Saffron cooked for Dew,neu,n
82,i've always loved Munah's character <3,neg,n
83,Wowwww all my fav cast,pos,n
84,This is entertaining,neu,n
85,FINALLY!,pos,n
86,I love this group,neu,n
87,When i listen to their stories i really don't know what I am doing with my relationship life,pos,n
88,safe to say that the old cast cannot be replaced,neu,n
89,I’m a Sagittarius too and I agree ,pos,n
90,This is fire ,neu,n
91,o m g yes........... my boyfriend came into our r/s with baggage + a whole bunch of insecurities and i kinda wish i just broke up with him then LOL it was SOOOOO tiring to deal with and i feel like i cant talk to guy friends normally anymore,neu,n
92,"Every time saffron says “like”, drink a shot.",pos,n
93,Dew dngn saffron ke? Oh myyy,neu,n
94,im in love with this group ,neu,n
95,LOL back to the star sign. Dew has enuff.,neu,n
96,more episodes wahh..,neu,n
97,the real talk is back.,neu,n
98,omggg loveee this line up!,neu,n
99,SENTTT IT,neu,n
100,Better then Real talk ,neu,n
101,Instantly subscribe when I see Dew in the video,neu,n
102,saff sis you’re so pretty.....,neu,n
103,First Queen Keisha woooo!!!!!!!!!!!,neg,n
104,Funny episode!!,neu,n
105,YAAASSSSS,neu,n
106,Yooo the OG of Real Talk.. The first channel aren't fun anymore tho.. Lucky i found this one.,neu,n
107,Holoq Queen Saffron and Jade Rasif... I will happily watch any video these two are in.,neu,n
108,We are back from real talk followers!,neu,n
109,wheee finally,pos,n
110,this is so much btr than real talk s2,pos,n
111,what munah said is true. dont enter a relationship with insecurity or baggage because it will enable each others baggage.,neu,n
112,"no shade, but this is a lot better than real talk s2",pos,n
113,i will subscribe for more of this !,neu,n
114,Finally...,neu,n
115,I feel like Dew is an example to why like we need to be taught the ways to a relationship and how to communicate too LOL as a dood I can relate to Dew but I can also understand why the girl would be insecure :'),neu,n
116,Damn i just searching for dew and saffron video... goddamn finally they have another channel. Thnks god,neu,n
117,Vro this is a fire,neu,n
118,No shade already preferring ur series more than mosg s2 HAHAHHAHAH,neu,n
119,Just saying this is better than real talk season 2,pos,n
120,"Keisha's storytelling is amazing! 
Need more stories from her!

Everyone else is great too. XD",pos,n
121,WHEN IS NEXT EP COMING OUT?????,neu,n
122,HOOOSHIT I love the vibe of this group,pos,n
123,POKIMINX2020!,neu,n
124,Queen jade!!,neu,n
125,Jade looking good and hot...good to see Dew & Jade back like the old days ,pos,n
126,So much better then the new episode of RT. Kudos. Way more entertaining,pos,n
127,Munah and Jade got me weak with their arguments with Dew ,neg,n
128,we stan,neu,n
129,"Dew's  -15.03  ""masyallah"" tho HAHA",pos,n
130,This feel more real talk than real talk ,neu,n
131,omg 17min video <33,neu,n
132,"Saggitarius too 
️",neu,n
133,Dew confirm steam throughout the video one,neu,n
134,"Besides the awesome combi, can someone tell me what necklace is saff wearing?",pos,n
135,Gah Jade so supportive ,pos,n
136,LOVEEEE,pos,n
137,17 minutes is way more ideal than 7 mins @mosg,pos,n
138,Why do i feel like saff and dew would be a great couple,pos,n
139,Bro Dew was so shook that he let out Mashallah ,neu,n
140,"WHOSE YALL EDITOR, THE CAMERAWORK IS ALSO GODLIKE WTF",neg,n
141,Mashaallah !,pos,n
142,"Nakk joinn! Hahaha! 

Jyjy OTR! ;)",neu,n
143,I LOVE HOLOQ QUEEEENNNNN!!!!!!,pos,n
144,"Hahaha Dew is cornered by the girls.
But it's okay. This is something new and nice. And fun also.",pos,n
145,I love the bounciness of her talk,pos,n
146,I came to comment FLFC but it was already full sigh,neg,n
147,"HAHAHAHHAHAHAHA dew's ""mashallah"" tho",pos,n
148,1:09 Saffron looking at hubby Drew,neu,n
149,should make a podcast,neu,n
150,damn now i would rather watch this than real talk,neg,n
151,Subbed!,neu,n
152,Oof can't get over Munah's toned arms ,neg,n
153,"Keisha sarah 
️
️
️",neu,n
154,loveeeee,pos,n
155,Is Dew dating with Saffron?,neu,n
156,HOW DID I JUST SEE THS OMG,neu,n
157,Just curious how tall is dew anyone knows?,neu,n
158,Better than real talk 2 xD,neu,n
159,Dew and saffron thoooo,neu,n
160,The tea is hot today,neu,n
161,AJADEE SAFF DEWWWWWW OOHHH,neu,n
162,are saff n dew in a relationship??,neu,n
163,"@14:36 Munah being damn Sagittarius 
️",neg,n
164,Saff and Dew ,neu,n
165,WAIT WAIT WHAT,neu,n
166,Munah body language.. So flirtatious.. Lol,neu,n
167,AHHHHHHH,neu,n
168,cant take my eyes of dew kicks,neg,n
169,I’m so confused. Is dew and saffron a couple?,neg,n
170,why their names all so special:'),neu,n
171,"Kiesha, you look very tall!",neu,n
172,Why is Jade keep blinking her eyes hahahahaha,neu,n
173,Do they have twitter i wanna follow them,neu,n
174,Is dew and saffron dating?,neu,n
175,is saff and dew dating....,neu,n
176,I really feel like I should hang out with them.,neg,n
177,"They gave us 16+ min  for first ep, realtalk been around for 2 years and we still get less than 15 min ",neu,n
178,MASHA ALLAH,neu,n
179,"HAHAHAHAHAHHA, the Mashallah killed me",neu,n
180,MINXKITTYY NOTICE ME,neu,n
181,wait dew and saffy rly tgt?? or isit just for jokes IM LOST,neu,n
182,"""honestly being single is damn fun"" says no one average looking  
  ",neu,n
183,IM A SAGITTARIUS TOO,neu,n
184,#Simp4Keisha,neu,n
185,MAASHAALLAH that killed me,pos,n
186,Keisha PogU,neu,n
187,Is there anyway for us peasants to work/intern in your studio or smth.,neu,n
188,Btw munah is 30+?? Wow... she still looks good,pos,n
189,MUNAHHHHH,neu,n
190,I wanna be Dew when I grow up,neu,n
191,Wait... is dew actually dating saf?,neu,n
192,so is dew and saff legit tgt or what,neu,n
193,"hahahahha munah 
 friend of si apek tua melancap ",neu,n
194,munah is gorgeous man :(,pos,n
195,wahh saff and dew date ??,neu,n
196,Came here after Julian Tech.,neu,n
197,Saffron dont ever go back UK...,neg,n
198,Yes i’m a sagi too ,neu,n
199,Win liao lor dew HAHA,pos,n
200,So when dew going to propose saff? ,neu,n
201,i like,neu,n
202,so saf with dew now huh,neu,n
203,"If I dated Keisha I would propose to her too. 
️",neu,n
204,Who's dew with rn?,neu,n
205,Cool,pos,n
206,WAIT DEW AND SAFFRON IS GOING TO DATE?!,neu,n
207,WAIT DEW IS W SAFFRON?,neu,n
208,"Good cast , unpretentious",pos,n
209,I laughed when dew tok2 de watch,neu,n
210,Jade is like the da jie hehe,pos,n
211,U guys are funnyyyyyy,pos,n
212,The MashaAllah got me cackling ,neu,n
213,"""Masyaalla"" ",pos,n
214,i guess now we know dew and saff are a thing,neu,n
215,"wow - lots of good advice here especially the one on insecurity from jade and the girl that said ""never date a guy that puts you down"" !!",pos,n
216,Fuck why i like this series so much alr,neg,n
217,Am i the only one who notices that Munah keeps touching dew in a flirty way HAHAHA and Saffron is lowkey annoyed by it.,neu,n
218,Keisha fine,neu,n
219,is munah referring to the r/s where she dated a very mature guy? hehe yes fan of real talk here !!,pos,n
220,13:17 is fucking hilarious ,pos,n
221,SIMP4KEISHA,neu,n
222,NICE LAH THIS VID 17 MINS LONG,pos,n
223,keisha lowkey looks like devon aoki or isit js me,neu,n
224,this is fking FUNNY AHAHAHA,pos,n
225,HOLOQ QUEEEEEN,neu,n
226,2:29 hahaha cuuute je,pos,n
227,I was shocked she said Sagittarius tbh hahaha would have never Guessed it,neu,n
228,Keisha looks like Devon Aoki twin,neu,y
229,Who is the luckiest guy in the room??,pos,n
230,lmao the christian dude,neu,n
231,holoq merch pls,neu,n
232,KEISHA TIER 3 SUB REPORTING,neu,n
233,my star sign is Dinosaur,neu,n
234,Saffron belongs to the streets ,neu,n
235,Keisha: 5 retakes later So actually..,neu,n
236,jade is a boss ass bitch honestly love her,pos,n
237,Mashallah 2.28 ,neu,n
238,24 dew 24,neu,n
239,Dew looks like he's pimping lmao,neu,n
240,all my shitty exes were Sagittarius lol,neg,n
241,"If dew text the girl - its his fault for chasing the insecure girl. 
If the girl text dew - its his fault for accepting the girl.
So conclusion - women insecure  :P",neu,n
242,“Minah beetch”,neu,n
243,Dew 0-1 Girls ,neu,n
244,dew and saf would be great fck buddies hahha,pos,n
245,LoL. so many insecurities,neu,n
246,Holoq queen,neu,n
247,lol,neu,n
248,"i’m here for keisha, but ended up simping for all. now i can hear her scream “GET OUT YOU UNLOYAL SIMP” give my comment 50 likes i take her on picnic date with ONE macaron and satay ",neg,n
249,FLFC,neu,n
0,"Munah is HILARIOUS in this ep 
 “Baaaa”",neu,n
1,"the way jade said ""Keisha! you failed your grades, you bad girl"" is so motherly ",pos,n
2,"""everybody got table at home but okay""",neu,n
3,Jade literally has the best storytimes everrrrr,neu,n
4,Here for jade hahaha “stop criticising everything here dew” lol when they’re actually trying to promotes ,neg,n
5,"""You think whattt""
"" DRAMA AHHH"" ",pos,n
6,14:21 Munah’s face MUAHAHAHAHA,neg,n
7,"I died at ""Ade props""",pos,n
8,LMAO Jade and Munah at 4:19,neg,n
9,Lol ur icon,pos,n
10,"""cher if you give me a raise, i'll give you a raise too""",pos,n
11,Jade never fail to give us interesting stories,neu,n
12,ok how yall gon do an Ep on Foreplay but proceeded to talk about Roleplay ,neu,n
13,"HAHAHAHAHA dew saying ""eh baik pe seluar dalam"" like matrep sia and munah ""panties nice eh girl"" totally like minah ",pos,n
14,Munah is the best really in this entire show of all episodes. Fantastic hair and dress sense!,pos,n
15,"I love every episode. Yall got the best punchlines, chemistry, side jokes between the cast and the editing is also not abrupt like the other show.

Also can we just look at Jade so supportive while Keisha was sharing her story. I could never resist ",pos,n
16,"""ada props"" i burst! lol",neu,n
17,Good advertising with pace!,pos,n
18,This rlly feels like im hanging out w my friends,neu,y
19,"The intro still LIT AF 
  Bring the intro TO THE MOON ",pos,n
20,'Eh baik pe seluar dalam'. JAILLLLL lmao,pos,n
21,HAHAHHA LIKE CALLING MY FATHER ABAH DAMN MUNAH GENUIELY FUNNY IN THIS,pos,n
22,I swear when they speak malay in a sexy way FKING FUNNY JABDJABAJA “baik pe seluar dalam” FKK HAHAHAHAHAH,neg,n
23,i tried saying bah and laughed even more,neu,n
24,"Hahahahaha. “Eh baik per seluar dalam”. Yal ah. 
08:08",neu,n
25,"Such an entertaining episode again!
 

P.S can dew not yell WASSUPASDDGSHDFAANOTHER EPISODE..., low key giving people anxiety. ",neu,n
26,"Y'all missed the chance to say ""one piece, two piece, three piece cannot!""",neu,n
27,3:23 ada props!hahaha so cute lah munah!,neu,n
28,"Honest Dew lost so much weight. Was thinking which dude is that, sounded so much like Dew.",neu,n
29,"Keisha and Munah...in la senza, I've watched them 3 times and have learnt nothing. But will still continue watching them. #simp",neu,n
30,"Munah and Kesha look like sales rep to me, while Jade is from R&D department and Dew is the columnist",pos,n
31,I wish they added English subs on top of the Malay subs when they mentioned something in Malay!,pos,n
32,For all the guys whose first visit to La Senza is via youtube video,neg,n
33,"I never knew how to pronounce ""lingerie"" before. 
I used to pronounce it as ""ling-ge-ree"".",neu,n
34,Dew in a candy shop! mhmmmm,neu,n
35,"I freaking love yall love from Nepal 
️
️",neu,n
36,Give me a raise i’ll give you a raise too ,neg,n
37,"HAHAHAH ""baik pe seluar dalam"" HHAHA",neg,n
38,where did keisha get her top from,neu,n
39,"""Waa Nice""",neu,n
40,Finally ,neu,n
41,No shit Jade no shit hahahahahaha ded,pos,n
42,More videos please hahahaha,neu,n
43,where is keisha's top from???,neu,n
44,"KEISHAAAAA 
️
️
️",neu,n
45,I need to go to Singapore to date them ,pos,n
46,I beng terus,neu,n
47,Dew macam act shy only,pos,n
48,Eh baik pe seluar dalam AHAHAHA,neu,n
49,hello from malaysia!,neg,n
50,Hi Mama Liz KEKW,neu,n
51,dew would not be a great saleperson lol,pos,n
52,I thought the girls will try on the lingeries,neu,n
53,Racism in singapore? Seems like a lot of people talking about it,neg,n
54,Three girls IG ?,neu,n
55,"so, jade single?",neu,n
56,Eh baik per sluar dalam,neu,n
57,hhahahahah,neu,n
58,????,neu,n
59,sheesh,neu,n
0,"Cheating is a choice made, it is not inevitable. If you can’t even control yourself and have the discipline and morale to stay loyal and committed to your partner, then I feel like you shouldn’t get into any relationship, unless it’s mutually open. (Just my opinion).",neu,n
1,Cheating is honestly the worst thing you could ever do in a marriage. Whats the point in getting married if youll end up cheating ? Just dont get committed.,pos,n
2,How can u admit to cheating with a straight face lol,neu,n
3,If dew says all his past gf's were insecure.... then has he considered the fact that maybe he was the problem to begin with?,neu,n
4,"Of course attractive people would say cheating is not so bad or even okay. The world is their oyster and they can always find someone better out there. The rest of us who are less attractive don't have the opportunity if we wanted to, how to cheat? haha.",neg,n
5,Tbh they talking about how if you feel you don’t love someone anymore then just leave but like love can be a choice to go through the good and bad with someone so i really couldnt relate on this LEL sorry man,pos,n
6,"""idk la what they talking""",neg,n
7,The captions is so on point like literally,pos,n
8,"I’m not ok with the boyfriend telling all his problems, especially problems in our relationship to another female friend... anyone with me?",neg,n
9,dew must do an episode about amelia though,pos,n
10,Munah's neck not tired ah? Keep tilting,pos,n
11,basically dun commit until the trust is there if not its just toxic af,neu,n
12,Omo. The way dew touched his heart when talking about Amelia ♡,neu,n
13,"Damn tbh if you're really young, you should realise feelings  are complicated and that feelings for another person come and go. Those feelings can come when you're in a relationship or when you're single, so it makes things especially complicated. Give it a few weeks and those feelings for the new person might just leave completely anyway. Munah talk talk only, wouldn't go so far as emotional cheating ala ""I really love this new guy"". If the guy interesting then can make friend what",pos,n
14,they are literally JUST SAYING anything they want. love the chaotic energy,pos,n
15,"Wanna hear more about you guys’ views on polygamy AND polyamory; where to draw the line, what is and isn’t ok etc 
Keep the episodes coming love em!",pos,n
16,"Finally a new episode, would be nice if y’al talk one at a time though, its quite chaotic with everyone talking haha, just saying ;)",neu,n
17,"Be it any relationship, communication plays an important role in avoiding any unnecessary drama/problem.",pos,n
18,"""babe whr r u""
""home""
""take a photo beside ur fish tank holding a spoon in right hand and make a 3 sign with your left hand""
-
this kind cannot prepare beforehand :p",neu,y
19,"OMG i was waiting for a new ep for so longggggggggggggg
FINALLY",pos,n
20,"Since y'all mention abit about weird Munah's weird kinks, why not an episode about that one day?",pos,n
21,living for the chaotic energy lmao,pos,n
22,Aww jade is wearing Saffron’s holoq shirt ,neg,n
23,"Captions : ""Idk what they talking about"" ",neu,n
24,"as a big bang stan, i completely d i e d at saff's part",neu,n
25,"Love Munah’s free passes 
 gonna use that next time",neu,n
26,Don’t cheat in a relationship.  You don’t gain anything but you lose more.,neu,n
27,Truths or not aside. Salute to all of you for the confession to the world.,neu,n
28,this cast is perfection,neu,n
29,Just found this channel and I love y'all!,neu,n
30,"Cheating in a relationship is unhealthy.. If you do not want to be in a relationship with that person anymore, just break up so both parties can move on. Instead of trying to still be with that person and fulfill your own thirst for other guys/girls. That is so selfish. Marriage in the other hand is totally different from just a regular relationship, marriage is a commitment and a responsibility both have to bear. If you have desires to cheat and also cannot forego the lifestyle, don't bother to try marrying or getting married.",pos,n
31,The pillow matching safff,pos,n
32,I thought saffron already fly in london but maybe this episode film before she go to london..,neg,n
33,Gotta love how everyone is so open ,neu,n
34,"I have one question"" when a guy who is going thru NS and the girl cheated him what is inside the girls mindset of them being so impatient that they can't wait for them too book out?""",neu,n
35,So this is where the real talk left to... I don’t find the new cast lives up to the old cast...good to see I can get the real talk cast and format back,neu,n
36,if u notice munah always look like she got stiff neck cos she trying not to move her hair (?) lol,neg,n
37,Munah is either touching her knee/leg or her hair? Constantly,neg,n
38,4:05 what’s saffron doing HAHAHA & the editor who did the subtitling is really lit too ,neu,n
39,I like this video before i watch it ,neu,n
40,Munah I'm disappointed you don't want dumbledore,neu,n
41,Love this so much,pos,n
42,Unfortunately this is why most men have trust issues nowadays. Fun episode though,neu,n
43,Awesome episode!,neu,n
44,But I like how Dew is the only realist in this discussion.,neu,n
45,How about a topic on STD?,pos,n
46,This is total chaos sia hahahaha,neu,n
47,Definitely better than Real Talk cheating episode...hahah but love both<3,pos,n
48,I wanna hear an episode about prenuptial agreements,neu,n
49,The Backstage Bunch or Just Saying?,neg,n
50,its good to have Dew. saying the male pov HAHA,neu,n
51,MORE!!,pos,n
52,Honestly I feel the take a video of the entire room came about cause they experienced too many cheaters in their relationship so you cant really fault them for trying to be uk assured,neu,n
53,Whats the bg song ya at the start?? Anyone??,neg,n
54,Remove censoring plsss. I want to hear all the cibais and lanchiaoossss XD,neu,n
55,That ‘Shook pikachu’ caption ,neu,n
56,Dew And Saffy looking good as usual,neu,n
57,Matching pillow and blouse set,neu,n
58,Let's go with Saffron's topic of polygamy/non-monogamous,neu,n
59,"Shoot out to all of cast from Indonesia,damn what an enjoyable arguments from all of you",neu,n
60,done watching! enjoyed it!,pos,n
61,15:08 Kesian the subtitles guy ,neu,n
62,to me i think cheating is doing what couples do. hold hands kissing hugging fking. all these is cheating. go out with another girl but nvr do all this is totally fine.. friend only mah,neu,n
63,I trust my gut cause they are always right when i catch the imposters while playing among us,neu,n
64,cheating is cheating no label no excuse just dont commit to a relationship is not for everyone ,neu,n
65,"lmaooooo the subbed ""boombayah"" after they all said ya @ 16:09",pos,n
66,HAHAHA aiyoo why everyone cheat? ,neu,n
67,Yes. Polygamy topic pls! Hahaha or open relationship!,neu,n
68,13:24 I guess the person writing the subtitles is a reveluv haha,neu,n
69,Tea spilled ,pos,n
70,"Basically dnt get married any of you pls
 I personally dnt believe in love too. But others do. So dnt fk them up. Least u can do.",neu,n
71,that’s y you hv to find friends who thinks alike hahahah,pos,n
72,3:11 Dew korek hidong..k bye,neu,n
73,Nice Air Jordan 1 High OG!,neu,n
74,please add definition on Malay words for overseas viewers! XD thank you,neg,n
75,I'm so distracted by Jade's shoes.,neu,n
76,I love keisha sarah she is so lovely,neu,n
77,Keisha what an eye candy,neg,n
78,"what about dumbledore, munah?",neu,n
79,Good one.,neg,n
