Index,Comment,Sentiment,Toxicity
119,"went thru the pandemic in sg and id call it ""the rock""",pos,n
120,"hahaha in the ph, we call them ""hipon""",pos,n
121,i've only ever known it to be super clean,neu,n
122,i thought i am the only one who noticed.,pos,y
123,this is canada,neu,n
124,i only knew one guy from singapore and he was really cute tbh,neu,n
125,when i heard 'prawn capital ' i assumed it was referring to food,neu,n
126,"yeah it true singaporeans male friends in fb have this nice almost perfect build but they are not that attractive just
saying",neu,n
127,i live in tokyo and i have heard people say that about singapore,pos,n
128,why is this accent giving me ptsd,neu,n
129,that's insaaaane ... i've just heard that it's very humid,pos,n
130,not really .some look good and attractive!!,neg,n
131,"haix no choice things we cannot change also bopian unless consmetic surgery lar snip snip, only thing to do is stay health, fit and lean to compensate with hardwork mah",neu,n
132,so very good looking ppl,pos,y
133,i have never met a singaporean person here in toronto. i may be wrong but haven't seen any yet!!,neu,n
134,damn,neu,n
135,i agree.,neu,n
136,wow! he's gorgeous,neu,n
137,i've never heard anyone say that. i thought it was going to be because people ate a lot of seafood lol,neu,n
138,where are your friends from?! never heard of this.,neu,n
139,i agree,neg,n
140,superficial is realness ...,pos,n
141,is true lol,pos,n
142,girls and guy all so-so,neu,n
143,"i find singaporean millennials more relateable than some asian australians i've met. but but its definitely ""sterile"" according to some.",neu,n
144,the amount of singaporean guys i've encountered or seen have always been very good looking,neu,n
145,agreed,neu,n
146,it's ok got money can alr,neg,n
147,what i heard was singlish or kiasu... never heard of prawn,neg,n
148,"i never heard the term ""es camaron/camaroncito"" explained in english and idk what to do with myself anymore",neu,n
149,"well, this guy is an exception of course",neu,n
150,"the guy kinda looks like lee min ho from the side profile, it might be the hair cut idk",neu,n
151,i just like the singaporian accent! i like the way they speak english!,pos,n
152,this is so true...,neg,n
153,you need better friends sir.,neu,n
154,i'm dead,neu,n
155,i've never heard of the prawn capital,neu,n
156,never heard that ever,neu,n
157,you need better friends.,neu,y
158,"so true, sorry",neu,n
159,well he's beautiful,pos,n
160,i have to visit yet. vegan so not looking at prawns i have a picture of beautiful vegetation and music and warmth,neg,n
161,@xuan,pos,n
162,i thought it had to do with food i wanted to hear about all the prawn-based dishes,neu,n
163,i never hear this before sia hahahah but yeah idl my men too muscular :( lean muscle is what i like hahahaha,neu,n
164,@d_dog420696969 @dehydratd @bzoanetti ok so i have bad taste cause i think the boys here are fitter than adl but then again they do mask fish a lot,pos,n
165,who is the guy. so handsome!!!,neg,n
166,well you don't need to be good looking to have a muscular body or healthy body,neu,n
167,a lot of beautiful girls in sg though...,neg,n
168,never heard of this,neu,n
169,i agree 100%,neu,y
170,wth i never heard about that,neu,n
171,there's good looking guys also luh,neu,n
172,hes gorgeous,neu,n
173,is the guy a singaporean cuz i'll definitely give him my all,neg,n
174,sad to say it is true with the girls as well,neg,n
175,"ahaaaaaa, i dun know that at all",neg,n
176,"i mean, he's exceptional",neg,y
177,never heard of that before,neu,n
178,hes the most handsome guy here!!,neu,n
179,who is he? so handsome.,neu,n
180,"so my ""shirmp"" term become international",neg,n
181,"nahhh, someone just flirt with me inside the comfort room and he was so fine, i was too shy of course",neu,y
182,i love this guy's voice,neu,n
183,noooo. haha they look attractive to me,neg,n
184,very true,neg,n
185,damn right,neg,n
186,i was called like this,neu,n
187,who is he???,neu,n
188,so true,pos,n
189,i just think it's so humid all year round,neu,n
190,"actually in the philippines uses this calling to someone....hahahahah... we called it ""pasayan or hipon""",neg,n
191,never heard of that before,neu,n
192,some people know where that phrase came from,neu,n
193,lol are his friends from the philippines because i get the reference lol (hipon),neu,n
194,"after meeting so many singaporeans, this is so true",pos,n
195,we just call kiasu capital here,neu,n
0,the shadow (i thought he will show brightwin picture ),neu,n
1,everyone searching for pink and white by frank ocean,neu,n
2,"""deck...............of cards""",neu,n
3,@na_ kuew tiow reaa,neu,n
4,bright?,neu,n
5,i want to meet you bright,neg,n
6,@hyunlix hah??!deck??,pos,n
7,brightwin,pos,n
8,bright weh,neu,n
9,bright... frank ocean,pos,n
10,loveuuu bright,neu,n
11,not me downloading pink and white,neu,n
12,love u bright!,pos,n
13,frank ocean!,neu,n
14,bright,neu,n
15,iloveyou bright,neu,n
16,bright listening to frank ocean shsjsjdjdj,pos,n
17,bright!!! my favourite thai artis,neg,n
18,deck........of cards *grins*,pos,y
19,idjsjsj amen bright,neu,n
20,bright do you miss tu???,neu,n
21,bright what did you say,neu,n
22,this deck.......of cards,neg,n
23,comey betul senyumnya yang last tu aque cair la hahahahshshsh,neu,n
24,bright,neu,n
25,ayyy its bright,neu,n
26,i love bright even more,neu,n
27,@ * d0unia * thyme van boys over flowers,neu,n
28,bright oh my lord,neu,n
29,thanks baby bright,neu,n
30,frank ocean mentioned!?!?!?,neu,n
31,yes!! bright..,neu,n
32,i will follow my dreams bright,neu,n
33,bright my idola,neu,n
34,@delulu seven days a week bright?,neu,n
35,frank?!! frank ocean???!!!,neu,n
36,okkokokok bright,neu,n
37,can u do win like same as bright?,neu,n
38,@riel2201 hahahaha deck...of cards,neu,n
39,brooo whens f4 thailand seson 2 happening,neu,n
40,i love bright so much so cute this man gives me all the feels i love this,neu,n
41,frank ocean?? hes so real for that,neu,n
42,he's like talking to me personally or i'm in my delulu?,neu,n
43,omg why.. bright is so charming,neu,n
44,bright,neu,n
45,@tristan i love his english,neu,n
46,ily bright,neu,n
47,@ni-ki's seoulmate his voice,neg,n
48,season 2!,neu,n
49,"""the first you have to do whne u first wake up"" bright:""brush ur teeth"" i can't-",neu,n
50,"""deck""",neu,n
51,he's so cute,neu,n
52,suddenly i'm a saxophone player.,neu,y
53,that's so silly i like frank ocean to we should get married,neu,n
54,bright has got unwavering confident to go through everything from his all experiences. i love and have respect for his way of thinking,neu,n
55,iloveyouuuuu my loveeee,pos,n
56,"thank youu clarityyy, this video is reminding me that i need to study for my exams tom, thanks to bright",neu,n
57,he loves frank oceannnn,neu,n
58,his english,neu,n
59,@daphpark its bright omg,neu,n
60,deck???,neu,n
61,deck... of cards,neu,n
62,where is tu,neg,n
63,thank you for having bright. i love to see him and all that he said in this video,neg,n
64,it's him?!,pos,n
65,"who else was going to skip then said ""wait hold up is that bright?!?!"" then stayed the rest of the video",neg,n
66,my so so poging brighttttt,neu,n
67,"'i think it's cute' it is, bright, it is",neu,n
68,his english.,pos,n
69,@i @souly @princess my brighter,pos,n
70,deck????,neu,n
71,deck of cards,neg,n
72,what if my achievement is you?,pos,n
73,he's so pookie,pos,y
74,deck of- what?,neg,n
75,baby,neu,n
76,i just see thyme,neu,n
77,me cant stop smiling,neu,n
78,u hope i achieve everything in my life..one of them is to meet u!!,neu,n
79,i'm so happy omg i see you,neu,n
80,deck,pos,n
81,"""deck....of cards""",pos,n
82,deck cards??,neu,n
83,my boyyyyy,neu,n
84,howd did he get more fine,neu,n
85,deck of?,neu,n
86,"pink and white, remind me to astrovelence endless journey",neu,n
87,dude i can't stop smiling,neu,n
88,this what......!?!?!?,neg,n
89,watching this while drinking wine and only 4.5 hours sleep last night,neu,n
90,sleep more. yaasss!!!,neg,n
91,deck of cards?,neg,n
92,""" acting or singing "" just acting pls",neu,n
93,my man,neg,n
94,"he's so cutee, i love the interview",neu,y
95,always an encouragement please take care of your health.,pos,n
96,we will always be his driving force!!!,neu,n
97,@siaraaaa deck....... of cards,pos,n
98,@feat deck.....of cards,neu,n
99,"""deck..... of cards""",neu,n
100,"""deck.... of cards""",pos,n
101,@ he listens to frank ocean,neu,n
102,you have my motivation nong-bright @bright vachirawit,neu,n
103,iloveyou bright,neu,y
104,that was wins shadow,neg,n
105,being a band geek when i was younger is finally coming in handy,neu,n
106,@chaeyoungshoe omg,pos,n
107,my man,neu,n
108,hes so fine,pos,n
109,brighttt,neu,n
110,brighttt,neg,n
111,loml,neu,n
112,he's acc so cute,neu,n
113,"""deck...of cards """,neg,n
114,he like pink and whiteeeee,neu,n
115,what if what i want to achieve is you,neu,n
116,bruhh the shadow i think i shockk @brightwin_phongdang @brightwinvachirawit3,neg,n
117,my bae,pos,y
118,omghaadd,pos,n
119,he is in singapore????,pos,n
120,@shahana my man my man,pos,n
121,"i thought he'll answer ""my faen"" to the 2nd question lol #brightwin4ever",neu,n
122,loml,pos,y
123,i love this maaan,neu,n
124,ohhh you guys found my husband,neu,n
125,his english,neu,n
126,awww,neu,n
127,i love being delulu he's talking to me,pos,n
128,"""deck... of cards""",neu,n
129,"deck
i heard something else the first time i watched it.",pos,n
130,he also motivates me on my bad days,neg,n
131,i thought he said smth else,neu,n
132,"i was like ""what?"" then ""oh""",pos,y
133,@waxier and read my message oso,neu,n
134,babyy,neu,n
135,it's so easy to get from hearing his voice,neu,n
136,english is so good bright,neu,n
137,the way he said the word deck of cards,neu,n
138,husbanddd,neu,n
139,@love you @chif'girlfrnd aaaaa,neg,n
140,just right after this video i saw 2gether edit,pos,n
141,i love everything about you .done follow clarity,pos,n
142,awww so cutee,neu,n
143,suaranya deeptalk able,neu,n
144,si bro ay good english speaker,neu,n
145,cincin dijari manis ga pernah ketinggalan ya bright,neu,n
146,el acento por dios que acento mas bonito,neg,n
147,no entendi nada pero te amo bright,neg,n
148,huy anong sabi mo,neu,n
149,c'est le prochain bl ?,neu,n
150,@ann/budzanek jego angielskie,neu,n
151,"ya ampun sayang, ganteng banget",pos,n
152,ele e tao fofo vei,neg,n
153,@motomoto braaaaaaaaaaaitttttttt angliiskii iazyk,neu,n
154,me encanta su voz en ingles es mas suave,neu,n
155,is it really him? i can't believe it,neu,n
156,eu te amo bright,neu,n
157,@dev waktu nunjukin foto di akun ig ke2 nya kek kenal itu bayangan siapa,neu,y
158,@ sein englisch,neu,n
159,anh da bao fl r thi ko the ko fl dc cac ba a :),pos,n
160,"que bueno q entiendo ingles
ame esto",neg,n
161,si c'est pour bright je reste jusqu'a la fin bye,pos,n
162,ganteng banget cintaku,neu,n
163,@yaeli.skz dys ayz b`lylylylyyyy,neu,n
164,ma quanto sei bello amore mio,pos,n
165,@. mkhvrhhhh mkhvrhh lbn adm hzhh,neg,n
166,sayang nya win,neu,n
167,@: *:* sa m a surpris de le voir,neg,n
168,tan lindo brigth,neu,n
169,@vanessza @ omajgad,neu,y
170,@avrz lhb @dabin_w2e_woodz(tamar) slyp mvr drynk las,neu,n
171,@ezy ayangggg,neu,n
172,@xyzflorenn sayangtuu gtg bgt,neu,n
173,@ shilatosh any mavhbt,neg,n
174,@ako dausyn estimegeli talai uakyt bolyp edi,neg,n
175,@m onze bf,neg,n
176,@qw~ fnz lnrwtw shwfyh lb~ `ynh,neg,y
177,on byl gg v moem pervom lakorne,neu,n
178,tbshr bls`d brwh nm lhyn,neu,n
179,amore mio,neu,n
180,amo su voz en ingles y su acento,neg,n
181,se quedaba pensando cuando dijo deck of cards jajfjw,neu,y
182,te amo bright,neu,n
183,suamiii gwaa masyaallah,neg,n
184,ne guzel konusuyor bebegsm,neg,n
185,yg di kasih fotonya itu kayak bayangan win g si,neg,n
186,troppo carino,neu,n
187,falou tudo vida,neu,n
188,masya allah bright,pos,n
189,@tamar hva amr brayyt abl,neu,n
190,khprh `lyv ayzh mvshlm hva,neg,n
191,ne guzel anlatiyor askimm,neu,n
192,ma ciao vita,neu,n
193,@jolina sein englisch wow,neu,n
194,aicchcchawaaykhathamaimhl`khnaadniinaaaaaaaa,pos,n
195,el amor de mi vida,neu,n
196,perevedu kogda budet ne len',neu,n
197,te amo pbai,neg,n
198,hayatiiimm kocaam olurumm,neu,n
0,really interesting. from a european perspective this is quite shocking to me. my parents would never expect or even accept money from me.,neu,n
1,"agree to certain extent. most parents provide more than the basic level of care, so as the child you have to reciprocate.",neu,n
2,my parents once said that i am their biggest investment plan talk about emotional damage,neu,n
3,"for those who has no parents, i'd give anything to have my parents alive. don't be so quick to throw away your parents.",neu,n
4,some parent may not but some parent passed down the burden of taking care younger siblings to the older children,neu,n
5,"tbh i kindda agree that our parents never gave up on us.. school isnt cheap, books isnt and food isnt.. they are aging and can no longer work do u",neg,n
6,"i think this mindset is quite common in asian countries, especially with older generations.",pos,n
7,indeed. parents who treated their kids like investment or retirement plan usually the,pos,n
8,"as a child of abused and neglect, i agree with her. parents can't expect when you don't do right by your kids,",neu,n
9,"as i grow older, i realise my parents are walking",pos,n
10,my parents are expecting me to pay all of my college tuition back to them for the next 20 years of my life,neu,n
11,i think parents with a good relationship with the kids don't even have to ask. kids will automatically take care of them.,neu,n
12,as a person should be grateful for all the love and good things happen to you.,pos,n
13,"in most cases, parents chose to have us, we didn't choose to be born lol",neu,n
14,"nigerian parents are on this table, when i told my friend i didn't want kids, he said who will look after you when you are old",neu,n
15,be the type of parent that your child will want to take care of when you're older.,neu,n
16,"@tiredboiboi very interesting comments here. i think even though they gave us traumas, the more we should give them $$ even if it's little. it shows how much of a forgiving and bigger person u are. but thats only if u are strong enough to have that mindset.",pos,n
17,you own them your life .,neg,n
18,"told my mum i'm not gonna take care of her when she's old and not visit her. i can do that if i loved her, but it's not my job as her child",pos,y
19,"if you expect your parents to give the best, why you want them to not expect anything from you.",neu,n
20,my uncle once said to me that he is helping me with paying for studying so i can help him in future...i mean i should be thankful but is it how it's working?,neu,n
21,i've been told this by my mom since i was 5,neu,n
22,"this system worked better when the wife's was at home and the husband's worked, you can still take care of them but it's so much more difficult",neg,n
23,not sure if it's an asian thing but most parents treats their children as roi,neu,n
24,this year my mom ask me about money 5x every month and each time = 1h. once when aunt come over she said she ask me food but she didn't give me money.,neu,n
25,i think a lot of parents realize that having kids sucks and they need to give it a purpose. i don't think parents would really want a caregiver role,neu,n
26,so what about sincere love,neu,n
27,we as parents need to be in our children's lives and if we do good they won't let us be alone,neu,n
28,"my dad screamed at my brother that he gives him everything and my brother still doesn't listen to him, so i said 'you give him everything physically,",neu,n
29,this is the african culture and it keeps the family together and in check in my opinion. we grew up bring insulted and bullied by our parents,neu,n
30,tell that to our african parents lyk we end up growing with a mentality that after we owe them.. but like in a good way eg..,neu,n
31,"it's heartbreaking, but we also didn't ask to be here. and even so, many parents have disrespected, belittled, and traumatized their children. at that point, they've eliminated the option of being entitled to care later.",neu,n
32,"she's right when she says that, we as kids to our parents, don't owe our parents anything. they mistreat you? when you're older you do not have to 1/2",neu,n
33,older parents like my parents thinks like the first person said. but we think like the 2nd person said lol.,neu,n
34,"my mother needs to hear this, she thinks i owe her the world because she decided to give birth to me",neu,n
35,"wat u talking...like pap mah, gst bonus u now, but after tat u better be filial n pay back",neu,n
36,my mom said a fortune teller told her she would live off the fruits of her eldest son. i'm the only son.. lol,neu,n
37,@denimjacquet @pluv0n faxx,neu,n
38,@li4 :3 literally our parents,neu,n
39,telling this every morning to my cats. i let them to sleep most of the day and go to toilet with me!,neu,n
40,"honestly this. my parents never really paid attention to me as a child but now that i'm a working adult, they are trying everything to get me.",neu,n
41,@hillarynnn1 good vid,neu,n
42,"@y u h @ @<3 @worm :) ""your parents didn't you leave you when you were young so don't leave them when you're old"" did i ask to be born????",neu,n
43,"at this point i feel like cutting them off tbh. my parents have said exactly they want allowances every month, they want me to buy them a house etc",neu,n
44,dont let parents influence your decisions,neu,n
45,"it seems that those parents who think you ""owe them "" are the ones who deserve it less than others",neu,n
46,"in my case, my mother did leave me when i was a child. if she came back in my life expecting me to care for her, i would feel very hurt",neu,n
47,happy my parents don't think that way,neg,n
48,"correct they never owed the parents anything , so i think after 18 years old..they should be independently financial and do not expect a single cents",neu,n
49,i will support my parents but i am also preparing for my old age so my kids will not have to be obligated to me.,neu,n
50,there is risks in every investment if their looking at us as a retirement plan,neu,n
51,three girls and not once have i thought about them having to look after me when i am old (hopefully i get old). a retirement home will be just fine so they won't even have to worry about me but can visit on occasion.,neu,n
52,"i will break this for my son. i hate the pressure that comes from this. my parents are great, love them alot but they do have abit of this mindset.",neu,y
53,my father literally called me his investment plan,neu,n
54,this is why i won't have kids. i dont have good examples and also... my parents are like kids that i have to care for,neu,n
55,literally my mum,pos,n
56,can't wait to ghost my mom and her acting all suprised. this is 1000% true.,neu,n
57,@kehan_h literally my family the whole reason behind having sehaj,neu,n
58,if you tell me to do it i won't.,neu,n
59,my kids are my only hope for retirement,neu,n
60,would never give parents a single cent & they know + accept it - a deep subconscious within them that they knew they weren't good parents anyway,neu,n
61,she nailed it! you can't be an absent parent and expect your children to be present,neu,n
62,i told both my parents to their face that i am not taking care of them when they are old,neg,n
63,guilt trips only break the relationship. i give my dad money every month but speak to him once a year. truth.,neg,n
64,"true, my kids don't owe me anything, they're not made to be my minions.",pos,n
65,"honestly, lets bffr",neg,n
66,"my mom always tell me ""y do u think i gave birth to u for"" when ever i tell her that she can't be forcing me to do stuff",neu,n
67,"i've offered my parents to help with bills this year. my mom never accepts ""cow doesn't drink from its calf"". interesting how different people are.",neu,n
68,i think that raising kids the right way with love and passion it won't even be a matter of discussion it'll just happen not bcuz y owe them or anything but bcuz you love them unconditionally,pos,n
69,i have been waiting for this .. my mother loves to throw it in my face and gaslight me like that all the damn time,pos,n
70,"in fact if you raised them well and took care of them , your children will always want to take care of you when u old",neu,n
71,the more you tell me that i have to do something the less i want to actually do it,neg,n
72,omg thank you sm for this,pos,n
73,not all parents. it's definitely a cultural thing.,pos,y
74,i would only do it if i have the means and they were a good parent.,neg,n
75,this is so true !!!!,neu,n
76,"i feel obligated to take care of then since their golden child and favorite can't step up and support them as they get older, i'm just the backup plan",neu,n
77,african parents too,neu,n
78,i can't even take care of my self. how would i take care of my parents???,neu,n
79,y'all look so serious,neu,n
80,my family left me the legacy of abuse so i left them,pos,n
81,that's why i ask my parents to give birth to 10 kids. so one or two of them must be filial,pos,n
82,our parents need to see this lol,neu,n
83,old people get dimenta become disabled incontinent also can become violent they can't always have adult children looking after them,neu,n
84,good parent will give everything.,neu,n
85,"when i first heard of parents like these, it shocked me. my mom always says that she'd rather die than have someone take care of her.",neu,n
86,ima leave her with her gma like she did me,neu,n
87,my husband and i will take care of our own retirement and help our kids build their family life where we can.,neu,n
88,"i think is not even about parent/children relationship, our human nature just sides which is better for themselves",neg,n
89,its more like the other way around,neu,n
90,whether retirement plan or not...am taking care of them. there is no other relation as pure as with my parents,neg,n
91,my parents told me that i am the second parent to my siblings like i'm the 2nd mother and i was kid at that time,neg,n
92,if your a good parent they're most likely going to take care of you but trying to manipulate them into doing what you want is not gonna help you,neu,n
93,or some parents view their kids as an extension of themselves...,neg,n
94,this is also a generation gap problem. no amount of talking and explaining will help them understand,neu,y
95,i pass my mum the price of my bto and told her i don't have the financial capacity to support her and she agrees.,pos,n
96,to the one in the middle !,neu,n
97,say these to my parents and they'll throw a fit lol,pos,n
98,if my mom wants someone to take care of her she should ask one of the five she didn't severely neglect,neu,n
99,how to tell my mom this without me planning for my funeral,neu,n
100,"because after ur son in adults in asian countries they put house responsibility on the son
then the son is bringing money to the house",pos,n
101,thank you! exactly why i can't stand my parents...,neu,n
102,that's the main reason my mom had me,neu,n
103,my mom and it's sad. i love her but it www selfish given the fact i grew up with an abusive father my respect goes down,neu,y
104,my childhood was stolen and i'm still highly traumatised. they're getting nothing,neg,n
105,that's my mum,neu,n
106,this is so interesting!! i loved hearing all of your thoughts!,pos,n
107,"i think i assumed my parents thought this. but lately, i realized they can take care of themselves what they really want is 100+ failsafes for me",neu,n
108,its normal in my culture samoan,pos,n
109,truest,neu,n
110,"my mom said that she expected me to take care of her, and i told her i expected her to take care of me and look where that went",neg,n
111,i love this middle girl,neu,n
112,@live laugh love kokomi @bubblepopsick no cz my ma will expect to me to pay for her to go to mecca and buy her a lot of things and send her money,neu,n
113,my parents fully expect to live in an in laws suite or detached unit in my backyard when they're old instead of going to a retirement home,neg,n
114,i'm glad my parents don't have this expectation for me or my siblings. but they do remind us that they would appreciate it if we do support them,neu,n
115,"if you raise your kids right , why would they not want to take care of you when you're older",neu,n
116,all my parents gave me was trauma. you mean i should reciprocate and give them what they gave me?,neg,n
117,i'm finally on the right side of tiktok,pos,y
118,well said,pos,n
119,this tho!!!!,pos,n
120,"i just talk to my belgian hubby about it.it was like that before but thanks to pension,it is a bonus that the kids visit their parents",pos,n
121,"""well, i fully expect to be reimbursed for the 20+ years of time, money & ofc love!"" my baby girl smiles at me. ""ahh, forget it, here's your pony.""",neu,n
122,well said,pos,y
123,wow this is eye opening and explains alot that i've seen in south east asia,neu,n
124,@nvrmnd lol,neu,n
125,"the world media control their mind, you parents better be careful.",neu,n
126,yep. and then when we don't want to have kids they get very upset lol,neu,n
127,100% right,pos,n
128,i love how they're sharing their each view points so respectfully,neu,n
129,"""your parents never leave you when you're young, don't leave them when they're old"", but that kid now also have kid",pos,n
130,"the thing is. no matter how much you know you don't owe them anything, it's very difficult to work on the guilt. the guilt of prioritizing yourself.",neg,n
131,yeb that's my parents,neu,n
132,a is absolutely right. listen,pos,y
133,i thought it's only in the ph.,neu,n
134,straight facts,neu,n
135,how do i send this to my parents without sending this to my parents :'d,neu,n
136,and they asked why i don't want to have kids,neu,n
137,i remember my mother telling me that she is my responsibility,neu,n
138,how to send this to my parent without directly send it to them,neu,n
139,"this happens a lot in asian countries. my mom told my sister to get married faster until she old, and bear her own kids.",neg,n
140,"noooo... my parents just said that ""you guys have to support me""",pos,n
141,ironic because one of my parents had just nagged and brainwashed us about this.,pos,n
142,all brown parents need to see this,neu,n
143,lmao may dad told me he cant rely on my :),neu,n
144,so true,neu,n
145,"in reality deep down people always expect something from someone to do or not to do all the time ,that's why we hurts n painful with relationships",neu,n
146,yesyesyesyesyes,neg,n
147,ayo in in the pacific also,neg,n
148,i'm south africa we call that blacktax. where parents feel entitled to be taken care of.,neu,n
149,yes!,neu,n
150,@germaine i thought the first part was a given.. like uk??,neu,n
151,my bro literally got hit 1000000x just because he played video games for an hour,pos,n
152,"my mom gave all her money to my younger brother but told me when she gets older, i will have to be responsible for her",neg,n
153,my parents did what they could but i was not the favorite child and felt alone/without support growing up. so they can get cared for by the favorites,neu,n
154,love this,neu,n
155,one thousand percent,neu,n
156,i wish i can send this to my parents rn,neu,n
157,i really like what the middle girl said at the end i feel like people don't say this enough in conversations like this thank you,neu,y
158,@val so real,neu,n
159,so any of them have kids?,pos,n
160,my parents had me to save their marriage now they are divorced and i'm living with my aunt....,neg,n
161,@rema's gf my parents think i'm gonna pay their mortgage,pos,n
162,my mum sounds exactly like this,neu,n
163,my father says this but doesnt specify its money vise lol,neu,n
164,"when i did a summer internship i made 1.3k my dad forced me to give him some of that money. he said i ""owed it too him as his daughter""",pos,n
165,no because my mom always tells me i need to have kids so she can become a grandma,neg,n
166,well i think they feel entitled/proud if they raise a child well because not all can afford to be independent when there are old,neu,n
167,my selfish reason to have kids would be i want to have some to love and i know who love me back and to raise just the way i wanted to be raised.,neg,n
168,my parents,neu,n
169,yeah,neu,y
