Index,Comment
2,"watching this podcast reminds me of myself when i was a child. I also had an ambitious mom who worked the entire day and people were always saying things (as the host hazelle has done here too) like it's ""needed"" for moms to send the kid to infant care (or in my case, left in the hands of FDWs). My sibling and I grew up to be neglected kids who have issues with intimacy, and I don't want my future kids to go through the same thing. The truth is that it's not necessarily ""needed"" to sacrifice time with the kid! You always have a choice - sometimes it means having to give up a job or interest if you prioritise the child. On a systemic level, I think Sg is also not the most family-friendly place to work in this respect."
3,thank you for sharing your personal experience with us! There's definitely no right or wrong way to parent (and no manual given!). What's most important is for us to find the right balance for your own family. 
4,"This episode was really inspiring to watch! Not just from the guests Char & Qi, but the questions and replies imposed by the 3 hosts as well. 
 From a lady to another lady - such experiences are gonna be felt by literally any modern lady going through motherhood  right now or prior to the future. Even if it's not ourselves, it could be a feeling for a close sister/friend. 
 It's wholesome to see these ladies get the support system they need while also pursuing their endeavours.

This is a shout out to all the women who are juggling multiple things right now in their lives. We are all in this together. "
5,"My friend is a girl national rock climber here in Malaysia, and she's also a national athlete in obstacle course racing. 

Through her and the things she shared last time, I realized that women athletes or women in general can multitask very well, but have it harder. The recognition and pay are lower for women, and women have to deal with the changes in energy and how their performance is affected because of the menstrual cycle."
6,Can make a lot of money?
7,We will always support you all. Keep working hard.
8,Btw they retired?
9,Do they make alot of money???
0,"Visit Army Women’s Career Fair on 24 June at Singapore Sports Hub, OCBC Lounge, from 11am to 7pm and discover how you can pursue your interests in Our Singapore Army. Register now at: https://go.gov.sg/armycareerfair-yt "
1,all the woman join army what a joke
2,"Ma'am Jin Hui used to be my BSO around 2020-2021, she's always very caring and motivates troopers who seem to lag behind during trainings, she's also a very good leader. I'm glad I see some people I know and respect from my NS days famous :)"
3,Hard to find real leaders with empathy nowadays. Respect to her !
4,"She’s a role model for women! I already like her as a person by listening to this podcast 
 she’s so strong and yet caring, if I have a daughter I hope she’ll be like her~"
5,Why didn’t anyone ask about her skincare routine esp her sunscreen habit hahah!! Her skin looks flawless 
6,"personally you would find that the warrant officers in the army (those who started off as lowly sergeants) have much better communication and leadership skills, because they needed to demonstrate these to rise up the ranks amongst the many. officers dont have these same opportunities or ""hardships"" to develop the same soft skills, as most go through the officer course from the start based on school results. so if you want a different more grounded perspective, speak to a warrant officer (someone who has proven ability over the years). officers, with the greatest respect, are usually sheltered from the dark side of the military - such as army rigidity and toxic organisational culture (they are the creators of and not the ones being subjected to military culture)."
7,"I fully support female conscription for Singaporean National Service!!! 
 It's 2023 girls can and should do it too!"
8,Agree. Ladies should do national service. I have alot of very capable women around me and I can see the values they bring into the service.
9,"Israel: ""Hold my beer."""
10,Since SAF was modeled after IDF originally I think this is a brilliant idea I’m sure our women would benefit and would not mind just a short stint 3-6 months
11,Let’s gooooo
12, @Coachchuateckguan  So basically still discriminating and giving them an easier time. Good idea at furthering equality.
13,"Limited budget. So between men and women, the government would get men to do it."
14," @slaiyfershin u can shit on inequality, but gotta accept the biological differences between the 2 genders"
15," @notenoughcalories  sure. Accept it and treat accordingly then. Do national service or harder national service then get proportionate returns for time and effort. Not give volunteer NS or if it ever happens, easier female NS, and frame it like it's equal service. You don't get to have your cake and eat it too."
16,"Singapore’s high rank structures are based solely on educational levels. Not Combat experience and exposures. 

You’ll be surprised that some of the most decorated and respected soldiers in the US Military are actually corporals and sergeants whom had seen front line actions and life and death situations first hand. Not some officers whom simply has a degree or a so called “scholar”.."
17,"It boils down how much love, respect , dignity and trust to  soldiers regardless on whether career or full time nsf/nsmen."
18,"NS really brings us men together... and in fact, it transcends generations...

I had the privilege of chancing upon a Gen 1 army combat engineer officer.. u know back the where SG didn't really have the best of equipment? Yea.. those days..

We bonded cos we were combat engineers and went through the same kind of training.. handling explosives, learning how to lay mines, how to construct a base of ops for vehicles, etc... 

It's really heart warming and fun"
19,Salute to all our female military personnel. Thank you for your service!
20,its universal once you don a uniform there is a bond for life..
21,shall do podcast with Singapore 1st female fighter pilot too
22,this girl got biceps
23,The way of talking so nice she is so fit
24,She is a trained counsellor too
25,There are not many female regular soldiers in armour units esp for armout operator. Think I roughly know who Azura's friend is hehe.  (appeared in the news before)
26,20:39 I'm here 
27,"Signals is a much more reasonable vocation for women, since infantry is so reliant on human strength. Whereas Signals is a much more technical vocation"
28,"28:17 But Germaine, you said earlier that you don't like being in the sun, so how to sign on and forge a career in the SAF? Lol......

By the way, I also don't like being in the sun these days. Way too hot.....my migraine gets triggered too often nowadays. I remember during my last few reservist trainings, my head was permanently wet during field camps...lol. Have to keep it cool to minimise the chances of triggering my migraine."
29,"cant believe i am hearing about how ""understanding"" the commanders are."
30,Wow. Would never enlist voluntarily in the army. 2 years + 10 cycles is more than enough for a lifetime.
31,Subtitle please! 🥹🥹
32,Wow i love her voice and physique
33,"I am a guy but because of my PES status (PES E), I didn't go through BMT in Tekong. I have ORDed for nearly 9 years already and wasn't called up for a single reservist. 

My BMT was a 1-month stay-out at Kranji Camp III, then I went to MINDEF HQ for my unit life. I didn't even need to wear uniform once I entered my unit, I could wear civilian clothes. Therefore, my NS life felt like a 2-year internship. 

So when guys talk about their NS life, I can't relate at all because I didn't go through the typical experience. HAHAHA."
34,Parents used to bring up whether we our male children got manage to flirt with any female nurse since we used work in the hospital environment.
35,Beautiful without makeup. 
36,Women power 
37,I think the girl who never serve shld keep quiet and actually let the servicewoman talk
38,Der hauptmann female version
39,Hormat SAF !
40,all women should served ns...
41,Sedia = salute? 
42,She is kinda cute ...
43,"나는 말레이시아 중국인 Koh Tiam Hong입니다. 나는 야수, 개자식, 개자식, 야수, 야생 품종입니다."
44,"I know men who would make great commanders, and commanders who are lesser than the average men. SAF's rank progression is skewed."
45,"Many thanks to the police for going after many opposition-related members for criminal offences - pritam, faisal, charles yeo, lim tean, hsien yang, etc. "
46,Haha listening to them talking about having more females in the army without considering the impact. Logistically etc. yes females have valuable impact in some vocations however thinking about the studies of performance of mixed units vs purely males there’s no question having females in unit produces a decrease in performance.
47,rule the kitchen
48,Are you sure it’s a real woman
49,Smart officer in between a bunch of look good no brainers-.-
50,next can u make podcast about interracial couple in singapore.
0,My CCA is also CO but also netball
1,Omg? They nv heard Chinese Orchestra b4?  I'm old gg.
2,Because Chinese orchestra usually in Chinese schools
3,nah ncc command band still supreme bruv
4,"It’s not just full time athelete that needs to sacrifice much. This applies to anyone, be it a nurse, a concert pianist or even construction worker, they are also sacrificing much of their time on practicing , working long hours, etc."
5,How much money they earns???
6,WEWWW Chinese Orchestra !!! 
7,Heyyy!!!! Hahahaha
8,I was in Chinese Orchestra! Now has step down alr
