Index,Comment,Sentiment,Toxicity
2,"""be more straightforward"" when they themselves aren't straightforward enough to tell a girl how it is instead they ghost bffr",neu,n
3,i was not expecting that,neu,n
4,relatable bcs i don't think there's a way to run from awkwardness,neu,n
5,""" ghost la , now dont know already "" hahahahahahahhaa",neg,n
6,ghost yes! if they re-appear again... leave them alone... respect the dead.,neu,n
7,"nak girls jd straight forward, tp bila nak reject gi ghost pulak...
single never understand this",neg,n
8,the one ghosting always come back,neg,n
9,"""now dont know already!""",neu,n
10,correct!,neu,n
11,"based on experience, yes that's the best way. we just don't pretend",pos,n
12,hahahah now dont know alr but at least y'all get to reject girls,pos,n
13,then why chasing us in the first place,neu,n
14,"""now don't know already"" brooo",neu,n
15,full episode on youtube and spotify! link in bio,neu,n
16,some dudes will ghost cuz they dont know what to say,neu,n
17,i love shanise so much,neg,n
18,i mean.. lets be real its pretty same on both ways you know what im sayin.,neg,n
19,is ghosting straightforward tho,neu,n
20,@a5yko just as we talked about,neu,n
21,@syuuraaaaa u shld know bout this,neu,n
22,this just made me reconsider my whole confession,neu,n
23,"alamak..i also do tht even i'm a girl...easy way, ghost",neu,n
24,@nicole l now dunno ady hahahahahaha,neg,n
25,@@ . reyna .+@ hahahahhh,neg,n
26,siapa lagi kalau bukan @mirul,neu,n
27,he asked girls to straight forward but he ghost girl that he reject,neu,n
28,@isyanktido oh pelik,neu,n
29,@tobias_tan exactly.,neg,n
30,ghost is the easy way out because there's a lot of follow-up questions and usually females wants to have the last say.,neu,n
31,""" ghost la , now dont know already "" hahahahahahahhaa",neu,n
32,@haikaldniall,neu,n
33,now dunno alr - korang legend,neu,n
34,@ari @dee fahammmmm,neg,n
35,the white top dude got girls to ghost in the first place meh?,neu,n
36,this is true la guy will ghost and go ..off phone nothing..suddenly online and say i already married. blady hell,pos,n
37,guys like them are totally red flag,neu,n
38,red flag,neg,n
39,'now don know alrdy' ahahhahaha,neg,n
40,@ari @dee fahammmmm,neu,n
41,ghost those that u only met or texted few times. those around your circle of friends can't la. awkward sial,pos,n
42,now don't know already hahahahaha,neu,n
43,hahaahah ghost. dang,neu,n
44,now don't know already ahahha simple as that,neu,n
45,@y he's just like me fr,neu,n
46,bro sayin fax,neu,n
47,"but when the girls ghosted them, they cannot take it",neu,n
48,'what if you know them?' 'now don't know alrd' bri i dieed,neg,n
49,"ghosting is a bit too over the edge, probably like reply but not make it fun i guess?",neu,n
50,people: ghosting is symbol of rejection. while me: ghosting is 'jual mahal' for me,neg,n
51,then still ask us be straightforward. you should also know how to reject with communication what. who wants to do that and risk getting ghosted lolol.,neu,n
52,ghost haunt you you know....so be ready lah,neu,n
53,bruhh,neu,n
54,last time i did this the girl thought i liked her,neg,n
55,shanise is so pweeety,neu,n
56,relateable hahahah,neg,n
57,shanise is so pweeety,neu,n
58,that right,neu,n
59,bruhh,neu,n
60,"hahahaha, nooo, tell them honestly or just ""you're too pretty/good for me""",pos,n
61,some dudes will ghost cuz they dont know what to say,neu,n
62,their reaction is just priceless,neu,n
63,correct!,neu,n
64,now dont know alr ahahahah,neu,n
65,"""now dont know already!""",neu,n
66,lol say it with conviction and everything sounds right,pos,n
67,"guy-'be more straightforward'
'how do you reject women?'
'ghost'",neu,n
68,"""now don't know already"" brooo",neu,n
69,"tbh i just dry text, just to show them i'm not into it, or i just tell her straight foward (in a nice way)",neu,n
70,now donno oredy.,neg,n
71,same i ghost too,neu,n
72,aiyaaaaa,neu,n
73,@m yeah,pos,n
74,"nak girls jd straight forward, tp bila nak reject gi ghost pulak...
single never understand this",neu,n
75,full episode on youtube and spotify! link in bio,pos,n
76,man,neu,n
77,i think u guys can just say no.,neu,n
78,lmao!,neu,n
79,kahkahkah i terus teringat my last relationship. now i knoww i kena reject hahahaha,neg,n
80,those who ghost imo just cannot admit their own feelings or be the bigger person. unless the girl rly damn jialat dun ghost lei,neu,n
81,i mean.. lets be real its pretty same on both ways you know what im sayin.,neg,n
82,hahahaha why is this so true,neu,n
83,hahahahahahhahahahaha i can vouch that its true,neu,n
84,patut la aku kena ghost,neu,n
85,now don't know ready,pos,n
86,basically me sia,neu,n
87,ghosting is for cowards,neu,y
88,why they're so surprised like they don't do it lol,neu,n
89,i love shanise so much,neu,n
90,guy was so unmature!,neu,n
91,real,neu,n
92,how is ghosting a good thing?,neu,n
93,"""now dk alrdy"" end conversation",neu,n
94,i mean i just said no and went home cuz i was hungry,neu,n
95,now don't know already hahahah broo,neg,n
96,now donno already hahaha,neu,n
97,@are4nanafr oh..,neu,n
98,i do that because i'm scared of rejecting at getting some kind of guilt,neu,n
99,why me?,neu,n
100,red flag ah,neg,n
101,this is the singapore way,neu,n
102,@syaz eh u and those guys twinning,neu,n
103,facts,neg,n
104,@ernest tam @javier true,neu,n
105,yep ghost .. i did that too when in my 20s.. i ghost because i don't want to deal with it anymore.,neu,n
106,now dunno oredi hahahahaha,neu,n
107,got minah seyh,neu,n
108,a guy flirted with me the next day he straight away keep on avoiding me,neu,n
109,summary: ghost.,neu,n
110,the ghost of me... hahahaha,neu,n
111,"i, as a girl, also ghost. tak sampai hati to just go 'no, i'm not interested in you'",neg,n
112,hahaha agreed,pos,n
113,exactly. thats why they keep coming back. like a ghost,neu,n
114,what!!,neu,n
115,hell yea,neu,n
116,her reaction is priceless hahahah,neu,n
117,followed becoz of the ghost,neg,n
118,fast game brudder facts,neg,n
119,budu banar,neg,n
120,straight forward but then ghosting. hmmm,neu,n
121,minah.exe has stopped working please reboot system,neu,n
122,"just like at a certain time, you don't even know the meaning of 'ghost' itself",pos,n
123,"""now dont know already"" sial la",neu,n
124,we dunno wht to say siaa,neu,n
125,s7,neu,n
126,now dk alr hahahah,neg,n
127,now dont know ready knn hahahahha,neu,n
128,skip the drama. easier to just ghost,neu,n
129,@dygiffaa eh,neu,n
130,wait wait you guys have a chance to reject?,neu,n
131,"boy ghost girl & girl ghost boy.. fair enough, so don't fight. but, karma this type deserves karma",neu,n
132,"i hope my brothers didn't see this videoi rejected by the same guys twice but we still friends till now, its been more than 10 years already",neu,n
133,now dont know already... settle,neu,n
134,girls did that as well.. ghost the hell out of them and don't know them forever.,neu,n
135,"my mum told me the same thing ghost the girl, after awhile she will forget about u. better than brutally reject her in the face",neu,n
136,i am girl and im always ghosting the boys if i rejecting them,neg,y
137,communication skills level elementary school,neu,n
138,"i think after the ghosting, it doesn't matter if you're the red flag or not",neu,n
139,"hahahahahaha your head la ""now dont know already"" wthhhh hahahahah",neg,n
140,lowkey sia,neu,n
141,that was anticlimactic,neg,n
142,please more podcast with shanise,neg,y
143,"""now don't know already""",pos,n
144,true ah jus ghost oni for wat girls all,neu,n
145,gosss,pos,n
146,the woman's accents are so beautiful,neu,n
147,booms,neg,n
148,i'm a girl and literally laughed at all your videos i came across.,neg,n
149,*now don't know already*,neu,n
150,ini kita mahukan iaitu kejujurannn,neu,n
151,ghost? can explain me pls?.. i'm paavam,neu,n
152,ghost? me not understand,neu,n
153,asking girl to be straightforward but then ghost people,neu,n
154,now don't know alrdy hahahahaha,neu,n
155,rolls royce ghost.,neu,n
156,boom,neu,n
157,singapore plenty of ghosts,neu,n
158,i ghost back n saying i delete u from my life file,neu,n
159,the guy that ghost me on social media yet to meet irl..just stumble and now he is acting so awkward.. wait how long he isgoing to ignore my presence??,neu,n
160,waht if kalau dia x ghost?,neg,n
161,the answer be like red flaggggg,neg,n
162,even i did the same thing as guys,neu,n
163,true... man gd at ghostin,pos,n
164,straight forward nw dunno alrdy,neu,n
165,ghost.,neg,n
166,kita taknak straightforward ah kita nak ghost jugak. bleh?,neg,n
167,"ayoo tho comment chill lah..wahh, sg slowly turning into like ""the west"" already",neu,y
168,ma man know how to run from the argue,neu,n
169,omgggg minahhhhhh,neg,n
170,now don't know already lololol,neu,y
171,funny cause its true,neu,n
172,"if we don't ghost. we must to answer ""why why why"" questions",neg,n
173,"after the ghost chase and possess you, it will ""ghost"" you",neu,n
174,"apoooo straight forward, pastu ghost, alaaaaaa apoooooo lah yang straight forward ghost tu.",neu,n
175,honest answers. yes ghost them,pos,n
176,@ this podcast,neg,n
177,for a sec i thought they talk about this ghost,neg,n
178,can confirm that....,neu,n
179,i seeeeeeeee,neu,n
180,i literally laugh 'now don't know already',neu,n
181,facts,neu,n
182,"boi... hahahah. i don't ghost my friends or the girl that i like that's sus af, bruv.",neu,n
183,""" now don't know edi """,pos,n
184,minah was to stunned to speak,neu,n
185,red flag.,neu,n
186,yeahh,pos,n
0,like forrealz now where u get all this stories,neu,n
1,she's snow white lah..seven dwarfs,neu,n
2,bruh apa lj indeed,neu,n
3,is it based on true story,neu,n
4,hahahahah kau tkmo tambah2,neu,n
5,its called secret mission,neg,n
6,fuh tu pompan polis btol nya 'neighborhood police post',neu,n
7,uniform group scandals always the most najis iykyk,neg,n
8,is the american police officer ?,neg,n
9,sorang buat cerita sorng lgi blur,neu,n
10,@alippunyeabah @mcmacikkau @' manglish fr sg podcast,neu,n
11,@nf,pos,n
12,is she malay or chi?,pos,n
13,source; trust me bro,neu,n
14,i know who,neu,n
15,ni mesti ssg hamidah,neu,n
16,@mohd ashrek awan,neu,n
17,@hanayoonie @sohee.ck @jerazkaiser @softieeyaa_ rabak bro..,neg,n
18,"heard of female officers from cnb that hit on bad boys too, on duty and off duty. need to set some boundaries lei",neg,n
19,what's her name,neu,n
20,who is the wonderwoman lah bro,neu,n
21,@shuaibahmed10_,neu,n
22,really take care of the neighborhood,neu,n
23,"before the police offficer stuff, she used to work at five guys",neu,n
24,i definitely agree with the last one .. it could be her fantasy or even her husband fantasy,neg,n
25,singapore here i come,neg,n
26,full episode on spotify and youtube. link in bio!,neu,n
27,"""standard fantasy"". he knows.. he knows..",neu,n
28,i like guys when they're gossiping like makcik,neu,n
29,"""you need 6 man bro rabak ah""",neg,n
30,hahahahahha batu api siaa,neu,n
31,acap selalu kelaut,neu,n
32,"common brooo, another normal day gitu",neu,n
33,"hahaahahha ""kau takyah tambah2 sia""",neu,n
34,"the apa lj sial, that guy is really fed up",neg,n
35,this conversation style is good.,neu,n
36,cannot brain,pos,n
37,bruh that last guy need to chill a lil bit,neu,n
38,the story become worse,neg,n
39,if a man or woman with so many body count. you better run. respect yourself by walking away.,neg,n
40,"the part ""rabak bro"" ... aku tgh ckp dlm hati masa tu",neu,n
41,hahaha.. apa yg those guys tengok? hehehe.. quote siapa yer bab 'buaya x menolak bangkai'?,pos,n
42,"""rabak bro""",neu,n
43,uve gained a follwer,neu,n
44,ohhhh side mission *sangka baik*,neu,n
45,dora love to explore.,neu,n
46,very nice,neu,n
47,finally nampak muka you guys. selalu dgr suara je thru spotify. deserve a follow!,neu,n
48,huh it's normal story,neg,n
49,case at usa btw.,neu,n
50,"sumpah this is most cool perbualan haha even ada carut , carut tu cool tak beria layan",neg,n
51,"""you need 6 men ah.. rabak you.. """,neu,n
52,4 of them on this podcast where the other 2,neu,n
53,mans said its a fantasy,neu,n
54,ahahah love the way u guys talk. 'apa lan*** sia* fantasy' lol,neg,n
55,"not really relatable to sg context
this happened in the us",neu,n
56,cb 6 officers ha,neg,n
57,"love is sacrifice, he knows his purpose n faith very well. no matter how big the issue it can always be rectified if the other party are remorseful",neu,n
58,"the way he say ""oh my lord""",neu,n
59,the wife skill is just too good for the husband to let go,neu,n
60,the wife skill is just too good for the husband to let go,pos,n
61,waiting for his wife pension maybe,neu,n
62,siot la the story got worse,neu,n
63,suka plak dgr singaporean berpodcast lawak pon ada btw i enjoy listening to u guys.. hi frm malaysia,neu,n
64,saw yall at kns,neu,n
65,"that ""rabak"" got me",neu,n
66,weyh mind drpd straight trus jadi lain lama2 dgr,pos,n
67,when guys having gossip.. rabak arr,neu,n
68,maybe the guy also have 6 women while at work too,neu,n
69,"becoz the husband does the same thing, maybe..",neu,n
70,the oh my lord got me,neg,n
71,mak aihhh adoi,neu,n
72,hahah! watching this right away after waking up. dayum! the end,neu,n
73,hahahahahahaha apa lj siaaaaa,pos,n
74,spoil laa yg last tu hahaha,neu,n
75,'' rabak bro'',pos,n
76,hahahha part 'rabak',neu,n
77,apo bondo ni adehhhhh,neu,n
78,you need six men? rabak bro i just died hahahahah,neu,n
79,love the candid podcast mode of this talk! you bros slayyyyyy,neg,n
80,"""oh my lord""",neu,n
81,hahahahahhahahah ape ni,neg,n
82,he's a simp,neu,n
83,guy green hat,neu,n
84,ni kat amerika lah..,neu,n
85,this one is us police,pos,n
86,minah is gonna stay minah,neu,n
87,@ffiyynaaa,neu,y
88,that apa lj is so thankyou fr saying that,neu,n
89,singapore nye ke?,neu,n
90,he is the 6th guy,neu,n
91,maybe the husband have 2x more ladies in his fingertips,neu,n
92,ok. i am sorry. this is my force. ok you can not forgive me you kill me ok but now i don't want to choose. anyone. i want to stay alone. ok,neu,n
93,on duty?,neu,n
94,tbh this is extremely common,neu,n
95,fantasy woooo,neg,n
96,"bruh my quote with the last part. ""apa lj sia""",neu,n
97,"it's not maybe but he is ....
i agree with this.",neu,n
98,i know the woman officer,neu,n
99,noty girl,neu,n
100,ending,neg,n
101,ni undercover dok hahahaha. haikal is really an energy for this podcast sia,neu,n
102,drop to support,neu,n
103,damn son!,neg,n
104,i will tell my god,neu,n
105,wello wello wello wello,neu,n
106,"okay right 6 officer,",neu,n
107,girl i-,neu,n
108,police academy,neu,n
109,bro!!!! last guy sus wei,neu,n
110,"ouh i know this angmoh officer, she look so innocent",neu,n
111,that's true love,neg,n
112,is usa say until like in sg.,pos,n
113,he happy and got her please him la,neu,n
114,bro wherw the policewoman kerja.which station which police post,neu,n
115,side quest fr,neu,n
116,damn dark story man.,neu,n
117,the first dude lowkey resembles tmj,neg,n
118,i actually know this...but not 6 guys la....,neg,n
119,where is the wello intro,neg,n
120,man u can loyal but not this much,neu,n
121,@syqstpw,neu,n
122,is it the viral video few years back?,pos,n
123,@user9725287263,neu,n
124,first glanced i thought this guy is zayn malik,neu,n
125,same time,neu,n
126,singapore also have sia when i ns,neg,n
127,bahahahahhahaa their response says all,neu,n
128,she belongs to the what??,neu,n
129,at the same time,neu,n
130,ahahahah lucu juga drng ni,neu,n
131,value added services,neu,n
132,what's her @?,neu,n
133,the last part tho..,neu,n
134,hahahaha the apa lj,neu,n
135,fantasy,neu,n
136,mcm cerita megan hall gahahah,neg,y
137,fantasy ..,neu,n
138,wuttt,neu,n
139,she is heavy duty..,neg,n
140,first time see guys' mouth liddat sia,neu,n
141,i was police officer,neg,n
142,she is heavy duty..,neg,y
143,"the ""you need 6 men eh rabak duh""",pos,n
144,same as our scdf girl?,neu,n
145,macam pernah dengar story ni,pos,n
146,this is why i love s'pore podcast more that msia,neu,n
147,aiyooooo....,neg,n
148,ask you self when you have child,neg,n
149,she confirm wants to finish her side quest before main,neu,n
150,yes maam!,neu,n
151,223 bro,neu,n
152,ds in society is true guys ... single better ..,neu,n
153,urban legend.,neu,n
154,omg.!,neu,n
155,bahahahaha tht last part,neu,n
156,she confirm wants to finish her side quest before main,neu,n
157,yes maam!,neu,n
158,223 bro,neu,n
159,fantasy??,neu,n
160,ds in society is true guys ... single better ..,neg,n
161,omg.!,neg,n
162,is it jonny sin one of the uniform guy?,neu,n
163,this is real! true...,pos,n
164,some say they both agreed on open relationship...,neu,n
165,aku sesat,neg,n
166,that girl jadi group project siak,neg,n
167,maegenhall story,neu,y
168,ashap,neu,n
169,everytime i watch i will laugh hahahhaa,neg,n
170,"""rabak bro""",neu,y
171,maybe the wife makes a lot more than him,neu,n
172,dis,neg,n
173,muka commentor say oh my lord mmg power. that stoic face,neu,n
174,hjg2 win hahahaa,neu,n
175,siyes ar,pos,n
176,some say they both agreed on open relationship...,neg,n
177,aku sesat,neg,n
178,that girl jadi group project siak,neu,n
179,maegenhall story,neu,n
180,ashap,neu,n
181,everytime i watch i will laugh hahahhaa,neu,n
182,"""rabak bro""",neu,n
183,hahaha seronok ke borak2 camni,pos,n
0,sapa suruh pandang rupa haha @luna,neu,n
1,"mesti that girl like, sebelum dia hentam aku baik aku hentam dulu.",neu,n
2,that's why i always tanye tinggi someone,neu,n
3,brooo last time i met someone who supposed to be 170 turned out 160cm... im 169 btw,neu,n
4,korang kenal tak tanye ketinggian msing2 dulu ke?haha..aku klau laki tu 180keats baru on.aku aje dh 174cm.tp xdela la ghost lps jumpe.hahaha,neu,n
5,sedih betul jd perempuan tinggi ni. selalu kena reject.,neg,n
6,she deserved to be stood up by u..,neu,n
7,@lyxxmf i love manglish,neg,n
8,full episode on youtube and spotify!,neg,n
9,@siti atirah kitty sbsabhsbah,neu,n
10,naurrrr gahshahshshs lost it at 'minah a bit but ok la' bruh,neu,n
11,"i dont think the height matters but the size i guess,",pos,n
12,"you should have said, ""ehh gemok rupanya hahahaha""",pos,n
13,to me be honest la an what she says to him is really disrespectful,neu,n
14,@snflwerbloom247 opinion d?,neu,n
15,@lilysheesh_ sheeeshh,neu,n
16,@miaadaeh,neu,n
17,wehhh that girl got extreme confident level leh. better than me.,neg,n
18,don't judge by profile pic,neg,n
19,only in singapore,neu,n
20,"that word ""pendek"" is already a violation....ma man needed sapport",neu,n
21,but i never car abt guys height tho .,neu,n
22,huh?,neu,n
23,"but respect to him for not stooding her up, at least got manners even tho kana ucap",neu,n
24,finally a matrep channel,neg,n
25,@k prob papa bak in da days,neg,n
26,lol that girl hahaha langsi woo hahaah,neu,n
27,emotional damage,neu,n
28,brooooo hahahahaha,neu,n
29,"me... the taller girl, hv experience date a shorter guys. for me okay je",neg,n
30,hahha.. how short dia ni?,neu,n
31,@iessyya @yiienn1 bruh,neu,n
32,"my opinion, u did the right thing by not leaving her just like that. a real gentleman. as for her, dasar tk sadar diri",neu,n
33,all of them thinking they hotstuff or what lol,neu,n
34,respect for him for actually still going through with it.. but the girl.. wahlaooo!,neg,n
35,omaigaddd the audacity,neu,n
36,@myhomiejason me,pos,n
37,uno reverse kakakahhh,neu,n
38,agree. man less than 170 cm is cute..,neg,n
39,the way all of my friends send me this,neg,n
40,"""ya laaa""",neu,n
41,haikelll emo leyyy,pos,n
42,lmaoooooooo,neu,n
43,"what's your height, btw?",neu,n
44,"but if she lied about her looks and height, then make this kind of comment really shameless",neu,n
